word,TotalCount,2006-2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Stand,21,0,16,1,0,1,1,0,0,0,0,2
that,21,1,14,1,1,0,0,2,0,1,1,0
temp,20,0,12,2,0,0,0,0,1,1,0,4
Stop,20,0,13,0,0,1,0,6,0,0,0,0
spoiler,20,0,8,0,0,2,0,3,0,2,3,2
Your,20,1,13,0,1,0,1,2,2,0,0,0
Workshop,20,0,13,0,0,0,0,2,0,0,1,4
Premium,20,1,3,10,1,0,0,1,0,1,1,2
Photo,20,0,6,3,2,1,0,1,2,0,1,4
light,20,0,11,0,2,1,0,1,0,1,1,3
MR,20,0,9,1,0,1,4,1,1,0,0,3
GOD,20,0,6,2,3,1,1,1,2,2,0,2
dog,20,0,2,0,0,0,2,2,1,0,6,7
bug,20,0,17,0,1,1,0,0,0,0,0,1
DOC,19,0,15,1,0,0,0,0,1,0,1,1
Glee,19,0,5,4,5,0,2,3,0,0,0,0
Green,19,0,9,2,4,2,0,0,0,1,0,1
fifth,19,0,0,0,0,0,0,0,4,14,0,1
Fighter,19,0,18,0,0,0,0,0,0,0,1,0
mob,19,0,17,0,0,0,0,0,1,0,0,1
look,19,0,8,0,0,1,3,0,2,1,2,2
harmony,19,0,0,0,0,0,0,0,4,14,0,1
player,18,2,12,1,0,2,0,0,0,1,0,0
Palace,18,0,14,0,0,1,3,0,0,0,0,0
Office,18,4,13,0,0,0,0,0,0,0,1,0
PREVIEW,18,1,12,1,0,0,1,1,0,1,0,1
Rose,18,0,9,1,1,2,0,2,0,1,1,1
break,18,0,13,0,1,0,2,1,1,0,0,0
Angel,18,0,2,10,0,0,0,1,1,0,1,3
again,18,1,9,3,3,0,0,0,1,1,0,0
Winehouse,18,2,15,0,1,0,0,0,0,0,0,0
too,18,0,9,0,1,4,1,1,1,1,0,0
stream,17,0,9,1,0,0,0,2,1,1,1,2
yeah,17,1,10,2,0,0,0,0,1,2,0,1
bike,17,1,8,1,0,3,0,1,0,1,1,1
Friday,17,0,12,0,0,0,0,0,0,2,0,3
Evil,17,0,11,0,0,0,2,0,0,2,2,0
power,17,2,9,3,0,2,0,0,0,0,1,0
HEART,17,0,12,1,1,0,2,1,0,0,0,0
Hero,17,2,8,0,2,1,0,1,0,2,0,1
ho,16,7,7,0,1,0,0,0,0,0,1,0
Hall,16,0,8,1,1,3,2,0,0,1,0,0
remix,16,2,11,0,0,1,0,0,0,0,1,1
own,16,0,2,1,4,2,6,0,1,0,0,0
or,16,1,10,1,1,1,0,1,0,0,0,1
pen,16,1,11,1,0,1,0,0,0,1,0,1
DOLLAR,16,0,14,0,1,1,0,0,0,0,0,0
got,16,0,10,1,0,1,1,1,0,1,0,1
Fly,16,2,4,0,0,0,0,1,8,0,0,1
Bowl,16,0,7,3,0,0,0,4,0,1,0,1
War,16,1,10,0,0,0,0,0,0,3,0,2
streaming,16,0,15,0,0,0,0,0,1,0,0,0
Toy,16,0,15,0,0,0,0,0,0,0,0,1
Twilight,16,1,12,1,1,0,0,0,0,1,0,0
thanks,15,0,12,0,1,0,1,0,0,0,1,0
word,15,0,9,2,1,1,0,0,0,0,0,2
Bull,15,0,9,1,0,1,0,0,2,1,1,0
cat,15,1,7,0,0,1,0,1,1,0,0,4
Channel,15,1,13,1,0,0,0,0,0,0,0,0
Blink,15,0,12,0,1,1,0,1,0,0,0,0
Fire,15,0,3,1,2,2,1,0,0,0,0,6
nice,15,2,7,0,1,1,1,0,1,0,1,1
review,15,0,13,0,0,1,0,1,0,0,0,0
prison,15,0,13,0,0,0,1,1,0,0,0,0
he,15,0,10,0,0,0,5,0,0,0,0,0
mail,15,2,12,0,1,0,0,0,0,0,0,0
Matrix,15,0,15,0,0,0,0,0,0,0,0,0
Messenger,14,0,9,0,1,0,2,0,0,1,1,0
Hacker,14,0,8,0,5,0,0,0,0,1,0,0
Secret,14,1,9,0,1,0,0,0,1,0,1,1
Plug,14,0,14,0,0,0,0,0,0,0,0,0
Place,14,0,9,0,1,1,1,0,0,0,0,2
poser,14,0,3,5,0,1,1,2,2,0,0,0
guitar,14,2,6,1,1,1,0,2,1,0,0,0
forever,14,0,4,3,3,1,1,1,1,0,0,0
Down,14,0,3,0,0,0,3,0,7,0,1,0
CUT,14,0,6,0,0,0,0,1,2,2,2,1
CREW,14,6,5,1,2,0,0,0,0,0,0,0
bit,14,1,8,4,0,0,0,0,1,0,0,0
Amazing,14,1,12,0,0,0,0,0,1,0,0,0
american,14,0,4,0,4,2,2,0,0,1,0,1
chip,14,0,8,0,1,0,2,1,0,0,0,2
clip,14,0,8,1,0,0,1,2,1,0,0,1
bullying,14,0,3,1,0,2,0,1,4,2,0,1
Work,14,0,5,0,0,0,0,3,1,3,0,2
team,14,1,7,0,0,0,0,1,3,1,1,0
UNDER,14,0,7,0,0,0,0,0,7,0,0,0
torrent,13,2,10,0,1,0,0,0,0,0,0,0
today,13,1,6,0,0,0,0,4,0,1,0,1
teaser,13,0,10,0,0,0,0,0,1,1,1,0
stress,13,0,7,0,0,0,0,2,0,0,2,2
Story,13,0,5,0,2,1,0,0,0,1,2,2
Subway,13,1,1,2,0,2,4,1,0,0,0,2
shop,13,1,8,0,1,0,1,1,0,0,0,1
water,13,0,12,0,0,0,0,0,0,0,1,0
but,13,0,7,0,0,1,1,2,1,1,0,0
Camp,13,1,7,3,0,1,0,0,0,1,0,0
call,13,2,10,0,0,0,0,0,0,0,1,0
Check,13,1,5,1,0,0,3,2,0,1,0,0
anatomy,13,0,4,1,3,0,0,1,1,0,1,2
about,13,2,9,1,0,0,0,0,0,0,1,0
crack,13,0,7,0,0,0,1,2,2,0,0,1
drag,13,0,2,0,0,1,0,0,7,0,2,1
Friend,13,1,4,1,0,1,2,2,1,0,1,0
FUN,13,1,7,2,0,0,3,0,0,0,0,0
Fest,13,0,7,1,0,0,0,2,0,2,0,1
flip,13,0,10,0,1,0,0,0,1,0,0,1
Feedback,13,1,11,1,0,0,0,0,0,0,0,0
point,13,0,7,2,2,0,0,0,0,0,1,1
Pearl,13,0,8,0,1,0,4,0,0,0,0,0
season,13,0,3,1,0,1,0,2,2,1,3,0
Project,13,0,11,0,0,0,0,0,0,0,1,1
Read,13,3,8,0,0,2,0,0,0,0,0,0
Reader,13,1,12,0,0,0,0,0,0,0,0,0
Remake,13,1,10,2,0,0,0,0,0,0,0,0
Quest,13,0,2,0,11,0,0,0,0,0,0,0
RAM,13,0,11,0,0,0,0,0,1,0,0,1
hour,13,0,13,0,0,0,0,0,0,0,0,0
IF,13,0,1,0,1,1,0,0,1,1,1,7
loser,13,1,11,0,0,0,0,1,0,0,0,0
KISS,13,0,8,0,0,3,0,1,0,1,0,0
MILK,12,1,7,0,0,0,1,0,0,2,0,1
LAST,12,1,5,1,1,0,1,0,1,0,0,2
Hell,12,0,10,1,1,0,0,0,0,0,0,0
queen,12,1,4,0,1,0,0,2,0,1,1,2
profile,12,0,8,2,2,0,0,0,0,0,0,0
PLUS,12,0,4,2,1,0,0,0,0,1,1,3
never,12,1,4,1,0,0,1,2,1,1,0,1
NSFW,12,1,11,0,0,0,0,0,0,0,0,0
Fitness,12,0,3,0,1,1,0,0,0,1,3,3
Crazy,12,0,4,0,0,1,2,3,0,0,1,1
ask,12,0,0,0,0,7,2,0,3,0,0,0
Can,12,3,8,0,0,0,0,0,0,0,1,0
Candy,12,0,3,0,0,0,8,0,0,0,1,0
card,12,0,6,2,2,1,0,0,1,0,0,0
CAST,12,0,7,0,1,0,0,0,0,2,2,0
wolf,12,0,2,0,0,0,0,1,0,7,1,1
Wireless,12,1,10,1,0,0,0,0,0,0,0,0
stranger,12,2,5,0,0,0,0,0,0,2,3,0
soul,12,0,10,0,1,0,0,1,0,0,0,0
Square,12,0,2,2,3,0,3,0,2,0,0,0
Sweet,12,0,9,2,0,1,0,0,0,0,0,0
Trip,12,1,8,0,0,0,0,1,1,0,0,1
Trash,11,0,10,0,0,1,0,0,0,0,0,0
Swift,11,0,2,4,0,0,0,0,3,0,0,2
Studio,11,0,3,0,1,1,1,1,0,1,1,2
Summer,11,0,5,1,0,2,0,0,1,1,0,1
sun,11,0,6,0,0,1,2,0,0,0,1,1
Stay,11,0,0,0,0,0,1,0,0,0,0,10
Wall,11,0,9,0,0,1,0,1,0,0,0,0
Cartoon,11,0,11,0,0,0,0,0,0,0,0,0
charity,11,0,11,0,0,0,0,0,0,0,0,0
Code,11,1,8,0,0,1,1,0,0,0,0,0
apocalypse,11,1,10,0,0,0,0,0,0,0,0,0
alive,11,0,9,1,0,1,0,0,0,0,0,0
aka,11,0,7,1,1,0,0,1,0,1,0,0
Billboard,11,0,4,0,1,0,0,0,1,2,1,2
beach,11,0,3,1,0,3,2,0,0,0,0,2
army,11,0,1,0,0,0,0,0,0,1,1,8
Cup,11,0,5,0,1,2,2,0,1,0,0,0
discovery,11,1,8,0,0,0,0,1,0,0,0,1
finale,11,0,2,1,0,1,0,5,1,0,1,0
FIGHT,11,0,8,0,1,0,0,0,1,0,1,0
GRID,11,0,9,1,0,0,0,0,1,0,0,0
Press,11,0,11,0,0,0,0,0,0,0,0,0
Scream,11,0,3,0,0,0,0,0,2,6,0,0
King,11,0,6,1,0,0,0,0,1,0,0,3
Inside,11,0,10,1,0,0,0,0,0,0,0,0
Inspired,11,0,11,0,0,0,0,0,0,0,0,0
MONEY,11,0,6,0,0,0,1,0,2,0,0,2
LOCK,11,0,5,3,1,1,0,0,1,0,0,0
LIST,10,2,8,0,0,0,0,0,0,0,0,0
let,10,0,6,1,0,0,1,0,1,1,0,0
magic,10,0,6,0,1,1,0,0,1,0,0,1
message,10,0,10,0,0,0,0,0,0,0,0,0
IRON,10,0,7,0,2,0,0,0,1,0,0,0
hush,10,0,2,0,0,0,0,8,0,0,0,0
have,10,0,9,0,0,0,0,0,1,0,0,0
Hair,10,0,8,1,0,0,0,0,0,0,0,1
hop,10,0,5,1,1,0,0,0,0,0,0,3
High,10,1,4,1,0,0,0,0,1,0,2,1
Hip,10,0,5,1,1,0,0,1,0,0,0,2
Hiper,10,0,1,1,3,1,0,2,0,1,0,1
Resident,10,0,6,0,0,0,2,0,0,1,1,0
Prince,10,0,5,2,0,0,0,0,1,1,0,1
relax,10,0,5,2,1,0,0,0,0,0,0,2
release,10,0,10,0,0,0,0,0,0,0,0,0
Neo,10,0,9,0,0,0,0,0,1,0,0,0
page,10,0,6,0,1,1,0,0,1,0,0,1
Planet,10,0,4,2,1,1,0,1,1,0,0,0
pink,10,0,4,1,2,0,0,0,0,0,0,3
gadget,10,1,9,0,0,0,0,0,0,0,0,0
full,10,0,6,0,0,0,1,0,1,0,1,1
food,10,0,4,0,1,0,2,0,1,1,0,1
Family,10,0,4,0,0,1,0,2,0,0,2,1
Factor,10,0,1,0,0,3,0,4,0,1,0,1
Flex,10,0,8,0,0,0,0,1,0,0,0,1
follower,10,0,9,0,1,0,0,0,0,0,0,0
doodle,10,1,9,0,0,0,0,0,0,0,0,0
Cult,10,0,7,0,1,1,0,0,1,0,0,0
bee,10,0,6,1,0,1,0,1,0,0,0,1
Walking,10,0,1,0,0,1,0,4,1,1,2,0
View,10,1,8,0,1,0,0,0,0,0,0,0
young,10,0,8,0,0,0,0,0,0,0,0,2
style,10,1,2,2,2,0,1,1,0,0,0,1
Strike,10,0,5,0,2,1,1,0,0,0,0,1
song,10,0,9,0,0,0,1,0,0,0,0,0
search,10,0,9,0,0,0,0,1,0,0,0,0
swing,10,0,8,0,0,0,0,2,0,0,0,0
tbt,10,0,0,0,0,0,0,0,0,0,0,10
template,10,1,6,1,0,2,0,0,0,0,0,0
vampire,10,0,3,1,1,0,0,3,1,1,0,0
tuned,9,0,0,0,0,0,0,0,0,0,0,9
Trend,9,0,5,0,0,2,0,0,0,0,1,1
THERE,9,0,7,0,1,0,1,0,0,0,0,0
tech,9,1,5,0,0,0,0,0,1,0,0,2
Tablet,9,0,1,0,2,4,1,0,1,0,0,0
shippo,9,0,0,0,0,0,0,1,2,0,4,2
Sports,9,0,0,0,0,0,0,1,0,7,0,1
WAY,9,0,3,0,3,1,0,1,1,0,0,0
whisky,9,0,2,0,0,3,1,0,2,1,0,0
Why,9,0,7,0,0,0,0,0,0,0,2,0
beer,9,0,1,2,0,0,1,0,1,1,1,2
backup,9,0,8,1,0,0,0,0,0,0,0,0
blackout,9,0,4,0,2,0,0,1,1,0,0,1
API,9,1,8,0,0,0,0,0,0,0,0,0
Boomerang,9,0,9,0,0,0,0,0,0,0,0,0
drink,9,0,4,1,1,0,0,0,1,0,0,2
enjoy,9,0,8,0,1,0,0,0,0,0,0,0
fan,9,0,4,0,2,1,0,2,0,0,0,0
Force,9,0,2,0,0,1,0,0,0,0,5,1
freak,9,0,8,0,0,1,0,0,0,0,0,0
funny,9,0,9,0,0,0,0,0,0,0,0,0
Guy,9,0,9,0,0,0,0,0,0,0,0,0
perfect,9,0,3,0,0,1,0,2,1,1,0,1
Port,9,0,6,0,1,1,0,1,0,0,0,0
PAINT,9,0,8,0,0,1,0,0,0,0,0,0
over,9,0,3,2,0,0,1,0,0,1,1,1
OUR,9,0,0,0,0,0,0,0,1,8,0,0
myself,9,0,9,0,0,0,0,0,0,0,0,0
Prime,9,0,6,0,0,0,0,0,1,0,0,2
Rugby,9,0,9,0,0,0,0,0,0,0,0,0
Scrum,9,0,9,0,0,0,0,0,0,0,0,0
How,9,0,6,0,0,0,0,1,1,1,0,0
Ice,9,0,5,2,0,0,0,0,1,0,0,1
Heavy,9,0,8,0,0,0,0,0,1,0,0,0
Kids,9,0,1,2,0,1,0,2,2,0,0,1
Moon,9,0,4,1,0,0,1,0,1,0,1,1
Lounge,9,0,4,0,0,2,0,0,0,1,0,2
making,8,2,5,1,0,0,0,0,0,0,0,0
Mother,8,0,5,0,0,0,0,1,1,0,1,0
Meet,8,0,5,1,0,0,0,0,2,0,0,0
joy,8,0,7,0,0,0,0,0,0,0,0,1
HISTORY,8,0,3,0,0,0,0,0,1,4,0,0
Road,8,0,6,0,0,0,1,0,1,0,0,0
Remember,8,1,2,2,0,0,0,0,1,1,0,1
Reading,8,1,7,0,0,0,0,0,0,0,0,0
overdose,8,0,6,0,0,0,0,1,1,0,0,0
Pack,8,0,2,2,0,0,0,0,1,0,1,2
phyton,8,0,8,0,0,0,0,0,0,0,0,0
PIG,8,0,2,0,0,1,0,2,0,1,2,0
Group,8,0,7,0,0,0,0,0,1,0,0,0
Gossip,8,1,4,1,2,0,0,0,0,0,0,0
Great,8,3,4,0,0,1,0,0,0,0,0,0
Far,8,0,2,0,0,0,2,3,0,1,0,0
English,8,1,7,0,0,0,0,0,0,0,0,0
Edition,8,0,5,1,0,0,0,1,0,0,1,0
Cruise,8,0,8,0,0,0,0,0,0,0,0,0
book,8,3,2,0,1,0,1,0,0,0,0,1
bus,8,1,1,1,0,0,1,0,0,0,0,4
Charge,8,3,2,1,1,1,0,0,0,0,0,0
