word,machado_fl,mac_morpho_fl,floresta_fl,genesis_fl,unitex-PB_fl,Manual Label
armada,Y,Y,Y,N,Y,Y
Armageddon,Y,Y,Y,Y,N,N
arms,N,Y,Y,N,N,N
army,Y,Y,Y,N,N,N
Arne,Y,Y,Y,Y,N,N
Arnold,Y,N,Y,Y,N,N
aroma,Y,Y,Y,N,Y,Y
arriba,Y,N,N,N,Y,Y
arroba,Y,Y,N,N,Y,Y
arrow,Y,Y,Y,Y,N,N
arsenal,Y,Y,N,N,Y,y
Art,N,N,Y,N,N,N
Arthur,N,N,Y,Y,N,N
artificial,Y,Y,Y,N,Y,Y
ary,Y,Y,Y,Y,N,N
Arya,Y,Y,Y,Y,N,N
As,Y,Y,Y,Y,N,Y
Asa,Y,Y,N,N,N,Y
ashes,Y,Y,Y,N,N,N
ask,Y,Y,Y,N,N,N
aspire,Y,N,N,N,Y,Y
ass,Y,Y,Y,N,N,N
assassin,Y,Y,Y,Y,N,N
assessor,N,Y,Y,N,Y,Y
assis,Y,Y,Y,N,N,N
assume,Y,Y,Y,N,Y,Y
astral,Y,Y,Y,N,Y,Y
Astrid,Y,N,Y,Y,N,N
asylum,Y,Y,Y,Y,N,N
at,Y,N,Y,N,N,N
Ata,N,N,N,N,N,Y
ate,Y,N,N,Y,Y,Y
atemporal,N,Y,N,N,Y,Y
Athena,Y,Y,Y,Y,N,N
Atlanta,Y,N,N,Y,N,N
attack,Y,Y,Y,N,N,N
Aubrey,Y,Y,Y,Y,N,N
audio,N,N,N,N,N,Y
auditoria,N,Y,Y,N,Y,Y
Audrey,Y,N,Y,Y,N,N
auge,Y,Y,Y,N,Y,Y
August,Y,N,Y,Y,N,N
Augusta,N,N,N,Y,N,N
aula,Y,Y,Y,N,Y,Y
aura,Y,Y,N,Y,Y,Y
aurora,Y,Y,N,N,Y,Y
Austin,Y,N,Y,Y,N,N
Australia,Y,Y,Y,Y,N,N
Australian,Y,N,Y,Y,N,N
auto,Y,Y,N,Y,Y,Y
auxiliar,Y,Y,Y,N,Y,Y
available,Y,Y,Y,Y,N,N
aval,N,Y,Y,N,Y,Y
Avanti,Y,Y,Y,Y,N,N
avast,Y,Y,Y,Y,N,N
ave,Y,Y,N,Y,Y,Y
aviso,Y,Y,Y,Y,Y,Y
avo,N,N,N,N,Y,Y
aw,Y,Y,Y,N,N,N
away,N,N,Y,N,N,N
awesome,Y,Y,Y,N,N,N
awn,Y,Y,Y,Y,N,N
axe,Y,Y,Y,N,N,N
ay,N,Y,Y,Y,N,N
Azalea,Y,Y,Y,Y,N,N
ba,Y,Y,Y,Y,N,N
baa,Y,Y,Y,Y,N,N
baba,Y,Y,N,N,Y,Y
Babel,N,N,N,N,N,N
Babi,Y,Y,Y,Y,N,N
Babs,Y,Y,Y,Y,N,N
babu,Y,Y,Y,Y,N,N
baby,N,N,Y,N,N,N
bacca,Y,Y,Y,Y,N,N
back,Y,N,Y,N,N,N
background,Y,N,Y,Y,N,N
backing,Y,Y,Y,Y,N,N
backstage,Y,Y,Y,Y,N,N
backup,Y,Y,Y,Y,N,N
bacon,N,N,N,N,Y,Y
bad,Y,N,Y,N,N,N
bae,Y,Y,Y,Y,N,N
bag,Y,Y,Y,Y,N,N
bago,N,Y,Y,Y,N,N
bah,Y,Y,Y,Y,N,N
bailee,N,N,N,N,N,Y
Bala,N,Y,N,N,N,Y
balalaika,Y,Y,Y,Y,N,N
balance,Y,N,N,N,Y,Y
balao,N,N,N,N,N,Y
balas,Y,Y,Y,N,Y,Y
Baldwin,Y,N,N,Y,N,N
bale,N,N,N,N,Y,Y
Bali,Y,Y,Y,Y,N,N
ball,Y,Y,Y,Y,N,N
ballet,N,N,N,N,N,N
bam,Y,Y,Y,Y,N,N
Ban,Y,Y,Y,Y,N,N
banana,Y,Y,N,N,Y,Y
banca,Y,Y,Y,N,Y,Y
banco,Y,Y,Y,N,Y,Y
band,Y,Y,Y,N,N,N
banda,Y,Y,Y,Y,Y,Y
bando,Y,Y,Y,Y,Y,Y
bane,N,N,N,N,Y,Y
bang,Y,Y,Y,N,N,N
banker,Y,Y,Y,Y,N,N
banking,Y,N,Y,Y,N,N
banner,N,N,N,N,Y,Y
Baphomet,Y,Y,Y,Y,N,N
bar,N,Y,Y,Y,Y,Y
Barbara,Y,N,Y,Y,N,N
barbeiro,Y,Y,Y,N,Y,Y
Barbra,Y,N,Y,Y,N,N
Bari,Y,Y,Y,Y,N,N
barman,Y,N,Y,Y,N,N
Barney,N,N,Y,Y,N,N
barra,Y,Y,Y,N,Y,Y
barras,Y,Y,N,N,Y,Y
barrigudo,N,Y,N,N,Y,Y
Barry,N,N,Y,Y,N,N
bartender,N,N,N,N,N,Y
Barton,Y,Y,Y,Y,N,N
basal,N,Y,N,N,Y,Y
base,Y,Y,Y,Y,Y,Y
baseball,Y,N,Y,Y,N,N
bases,Y,Y,Y,Y,Y,Y
basic,Y,Y,Y,Y,N,N
basket,Y,Y,Y,N,N,N
bass,Y,Y,Y,Y,N,N
basta,Y,Y,Y,N,Y,Y
basto,Y,N,N,N,Y,Y
bat,Y,Y,Y,N,N,N
batata,Y,Y,Y,N,Y,Y
Batatas,Y,Y,N,N,N,Y
bate,Y,Y,Y,N,Y,Y
bateman,Y,Y,Y,Y,N,N
bater,Y,Y,Y,N,Y,Y
batman,Y,Y,Y,Y,N,N
baton,Y,N,Y,Y,N,N
bay,Y,Y,Y,Y,N,N
be,N,N,Y,N,N,N
Bea,Y,Y,Y,Y,N,N
beach,Y,Y,Y,N,N,N
beat,Y,N,N,Y,N,N
beautiful,Y,N,Y,N,N,N
becher,Y,Y,Y,Y,N,N
Beck,Y,N,Y,Y,N,N
bedel,N,Y,Y,Y,N,N
bedin,Y,Y,Y,Y,N,N
Bee,Y,N,Y,Y,N,N
been,Y,Y,Y,N,N,N
beer,Y,Y,Y,Y,N,N
beetle,Y,Y,Y,Y,N,N
before,Y,Y,Y,N,N,N
behavior,Y,Y,Y,Y,N,N
behind,Y,Y,Y,N,N,N
beira,Y,Y,Y,N,Y,Y
Beja,Y,N,Y,N,N,Y
bela,Y,Y,Y,N,Y,Y
belga,Y,Y,Y,N,Y,Y
believe,Y,Y,Y,N,N,N
Belinda,Y,Y,Y,Y,N,N
Bella,Y,Y,Y,Y,N,N
belle,N,N,Y,N,N,N
beluga,Y,Y,Y,Y,N,N
Ben,Y,N,N,N,N,N
bench,Y,Y,Y,Y,N,N
Benjamin,N,N,Y,N,N,N
benny,Y,Y,Y,Y,N,N
Benson,Y,N,Y,Y,N,N
Benton,N,Y,Y,Y,N,N
ber,Y,Y,Y,Y,N,N
Berliner,Y,Y,Y,Y,N,N
Bernard,N,N,N,Y,N,N
beside,Y,Y,Y,N,N,N
best,Y,N,Y,N,N,N
bet,Y,Y,Y,N,N,N
beta,N,Y,N,N,Y,Y
Beth,Y,N,Y,N,N,N
better,Y,N,Y,N,N,N
betty,Y,Y,Y,Y,N,N
Bianca,Y,N,Y,Y,N,N
bias,Y,Y,Y,Y,N,N
bibi,Y,Y,Y,Y,N,N
biceps,N,N,N,N,N,Y
bidimensional,N,Y,N,N,Y,Y
bier,Y,Y,Y,Y,N,N
big,Y,N,Y,N,N,N
bike,Y,N,Y,N,N,N
bikini,N,N,N,N,N,Y
Bill,N,N,N,Y,N,N
billboard,Y,Y,Y,Y,N,N
Billie,Y,N,Y,Y,N,N
billionaire,Y,Y,Y,Y,N,N
Billy,Y,N,Y,Y,N,N
binder,Y,Y,Y,N,N,N
bindery,Y,Y,Y,Y,N,N
bine,Y,Y,Y,Y,N,N
bingo,N,Y,N,N,Y,Y
bino,Y,Y,Y,Y,N,N
bios,Y,Y,Y,Y,N,N
bipolar,N,N,N,N,Y,Y
birthday,Y,Y,Y,N,N,N
bis,N,N,N,N,N,N
bisexual,N,N,N,N,N,Y
bit,Y,Y,Y,N,N,N
bitch,Y,N,Y,N,N,N
bittersweet,Y,Y,Y,Y,N,N
bitty,Y,Y,Y,Y,N,N
bixin,Y,Y,Y,Y,N,N
bizarre,Y,Y,Y,Y,N,N
black,N,N,Y,N,N,N
blackberry,Y,Y,Y,Y,N,N
blackout,Y,Y,Y,Y,N,N
bladed,Y,Y,Y,Y,N,N
Blaine,Y,Y,Y,Y,N,N
Blair,Y,N,Y,Y,N,N
blake,Y,Y,Y,Y,N,N
blanca,N,Y,Y,Y,N,N
blast,Y,Y,Y,Y,N,N
blazer,N,Y,N,N,Y,N
bleach,Y,Y,Y,Y,N,N
blend,Y,N,Y,Y,N,N
bless,Y,Y,Y,N,N,N
blessed,Y,Y,Y,N,N,N
blind,Y,Y,Y,Y,N,N
blink,Y,Y,Y,Y,N,N
blip,Y,Y,Y,Y,N,N
blitz,N,Y,N,N,Y,Y
block,Y,Y,Y,Y,N,N
blocked,Y,Y,Y,Y,N,N
blood,N,Y,Y,N,N,N
blowup,Y,Y,Y,Y,N,N
blue,Y,N,Y,Y,N,N
blues,Y,N,N,Y,N,N
blunt,Y,Y,Y,Y,N,N
blush,N,Y,N,N,N,Y
bo,Y,Y,Y,N,N,N
boa,Y,Y,Y,Y,Y,Y
Bob,Y,N,Y,Y,N,N
boba,N,N,N,N,Y,Y
Bobby,Y,Y,Y,Y,N,N
bobo,Y,Y,N,N,Y,Y
bod,Y,Y,Y,Y,N,N
bode,Y,Y,Y,N,Y,Y
bodega,N,N,N,N,Y,Y
body,N,Y,Y,N,N,N
bodybuilder,Y,Y,Y,Y,N,N
boga,Y,Y,Y,Y,N,N
boiler,Y,Y,Y,Y,N,N
bola,Y,Y,Y,N,Y,Y
boldo,Y,Y,Y,Y,N,N
bolo,Y,Y,Y,N,Y,Y
bom,Y,Y,Y,Y,Y,Y
boma,Y,Y,Y,Y,N,N
